pitcher_id,pitch_type_name,pitches_thrown,pitcher_break_z,pitcher_break_x,spin_rate,active_spin,diff_clock_label,release_speed,movement_inches
607074,FF,1672,12.326435406698565,7.53421052631579,2244.0,0.9471033796561008, 0H 00M,92.9,17.4
656731,FF,1177,14.160407816482582,8.872897196261682,2154.0,0.9649410279336234,-0H 15M,94.6,18.5
669203,FC,1955,19.07299232736573,4.216265984654731,2909.0,0.4848836417003426,-0H 45M,93.1,10.1
672851,FF,327,15.344036697247706,11.068807339449542,2207.0,0.9726666857822814, 0H 00M,95.1,19.0
656629,FF,995,10.743316582914574,9.664824120603015,2585.0,0.963497912843671, 0H 00M,97.3,20.8
669302,FF,1571,12.254105665181411,5.7938255887969445,2200.0,0.9423490599895694,-0H 15M,95.3,18.5
592662,FF,2628,13.693607305936075,8.231050228310501,2421.0,0.9598904541801794, 0H 00M,93.9,19.2
642547,FF,1825,14.97978082191781,7.0168767123287665,2413.0,0.8296363056498386,-0H 15M,93.0,16.8
663474,FF,1758,12.2386803185438,3.564220705346985,2339.0,0.9836210342631868, 0H 00M,92.8,20.1
669022,FF,247,12.5,5.2,2202.0,0.9466475220241308,+0H 15M,94.9,18.3
640455,SI,2470,20.71255060728745,13.58093117408907,1863.0,0.9223344471063846,-0H 15M,90.3,16.3
641816,FF,2409,13.71029472810295,12.078206724782067,2394.0,0.9950898499708972, 0H 00M,93.9,21.3
664285,SI,1887,26.525225225225224,13.090832008479069,2257.0,0.7035673324577914,-1H 00M,93.1,14.1
434378,FF,222,11.6,9.800000000000002,2524.0,0.9928932027811768,+0H 15M,94.9,23.1
656605,FF,1487,15.185541358439814,6.657229320780093,2333.0,0.905595186916576,-0H 15M,94.0,17.7
657006,FF,656,16.232621951219514,1.501829268292683,2495.0,0.7097216033822031,+0H 30M,93.1,15.0
680686,FF,841,13.082520808561236,9.679785969084422,2254.0,0.9951179121560282, 0H 00M,94.6,19.9
624133,SI,948,24.451476793248943,15.958016877637132,1938.0,0.8322805687405598,-1H 15M,91.0,18.2
622072,SI,1364,20.646114369501465,15.793841642228738,2213.0,0.9759863115894744,+0H 30M,91.3,18.8
657746,FF,484,17.72789256198347,11.03202479338843,2172.0,0.9692912030215922, 0H 00M,91.2,18.0
669432,FF,1771,16.14025974025974,11.661038961038962,2430.0,0.9387938905208076,+0H 15M,93.5,20.1
